source_id,brand,name,categories,price,web_url,img_url
158344,Christian Dior,Dior Addict Lip Maximizer 6ml,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Gloss,5895,/iteminfo/christian-dior-dior-addict-lip-maximizer-collagen-activ-lipgloss-6ml,//d3pllp7nz3wmw5.cloudfront.net/product_images/07239380102_EBAY_SMALL_US.jpg
136247,Christian Dior,Dior Addict Lip Glow Color Awakening Lip Balm - #001 Pink 3.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,5295,/iteminfo/christian-dior-dior-addict-lip-glow-color-awakening-lip-balm-spf10-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/09689880102_EBAY_SMALL_US.jpg
219499,Jane Iredale,Just Kissed Lip & Cheek Stain - Forever Pink 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Stain,2995,/iteminfo/jane-iredale-just-kissed-lip-and-cheek-stain-forever-pink-2g,//d3pllp7nz3wmw5.cloudfront.net/product_images/10005703602_EBAY_SMALL_US.jpg
174992,Elizabeth Arden,Eight Hour Cream Lip Protectant Stick SPF 15 #02 Blush 3.7g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,2495,/iteminfo/elizabeth-arden-eight-hour-cream-lip-protectant-stick-spf15-no02-blush-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/03427580502_EBAY_SMALL_US.jpg
263285,Christian Dior,Dior Addict Lip Glow Color Awakening Lip Balm SPF 10 - #004 Coral 3.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,6295,/iteminfo/christian-dior-dior-addict-lip-glow-color-awakening-lip-balm-spf10-no004-coral-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/18515280102_EBAY_SMALL_US.jpg
174993,Elizabeth Arden,Eight Hour Cream Lip Protectant Stick SPF 15 #04 Plum 3.7g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,2495,/iteminfo/elizabeth-arden-eight-hour-cream-lip-protectant-stick-spf15-no04-plum-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/03427780502_EBAY_SMALL_US.jpg
215338,Clinique,Chubby Stick - No. 07 Super Strawberry 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,2795,/iteminfo/clinique-chubby-stick-no07-super-strawberry-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/12834780402_EBAY_SMALL_US.jpg
175239,Chanel,Rouge Coco Shine Hydrating Sheer Lipshine - # 54 Boy 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,6095,/iteminfo/chanel-rouge-coco-shine-hydrating-sheer-lipshine-no54-boy-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/11886480202_EBAY_SMALL_US.jpg
232059,Clinique,Chubby Stick Intense Moisturizing Lip Colour Balm - No. 1 Caramel 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,2795,/iteminfo/clinique-chubby-stick-intense-moisturizing-lip-colour-balm-no1-caramel-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/15403480402_EBAY_SMALL_US.jpg
238982,Yves Saint Laurent,Rouge Pur Couture - # 52 Rosy Coral/Rouge Rose 3.8g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,5795,/iteminfo/yves-saint-laurent-rouge-pur-couture-no52-rosy-coral-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/16051981702_EBAY_SMALL_US.jpg
232050,Clinique,Chubby Stick Intense Moisturizing Lip Colour Balm - No. 6 Roomiest Rose 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,3395,/iteminfo/clinique-chubby-stick-intense-moisturizing-lip-colour-balm-no6-roomiest-rose-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/15390180402_EBAY_SMALL_US.jpg
161848,Jane Iredale,Sugar & Butte Lip Exfoliant/ Plumper - Sugar & Butter 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,3495,/iteminfo/jane-iredale-sugar-and-butte-lip-exfoliant-plumper-sugar-and-butter-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/10288403602_EBAY_SMALL_US.jpg
215334,Clinique,Chubby Stick - No. 02 Whole Lotta Honey 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3395,/iteminfo/clinique-chubby-stick-no02-whole-lotta-honey-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/12693380402_EBAY_SMALL_US.jpg
269901,Jane Iredale,LipDrink Lip Balm SPF 15 - Sheer 4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,2021,/iteminfo/jane-iredale-lipdrink-lip-balm-spf15-sheer-4g,//d3pllp7nz3wmw5.cloudfront.net/product_images/19583703602_EBAY_SMALL_US.jpg
214627,Clinique,Chubby Stick - No. 05 Chunky Cherry 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3395,/iteminfo/clinique-chubby-stick-no05-chunky-cherry-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/12693580402_EBAY_SMALL_US.jpg
215336,Clinique,Chubby Stick - No. 06 Woppin' Watermelon 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3395,/iteminfo/clinique-chubby-stick-no06-woppin-watermelon-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/12693680402_EBAY_SMALL_US.jpg
219378,NARS,Velvet Matte Lip Pencil - Cruella 2.4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3995,/iteminfo/nars-velvet-matte-lip-pencil-cruella-2g,//d3pllp7nz3wmw5.cloudfront.net/product_images/13077202602_EBAY_SMALL_US.jpg
167395,Elizabeth Arden,Eight Hour Cream Lip Protectant Stick SPF 15 #05 Berry 3.7g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,2495,/iteminfo/elizabeth-arden-eight-hour-cream-lip-protectant-stick-spf15-no05-berry-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/08682080502_EBAY_SMALL_US.jpg
216734,Elizabeth Arden,Eight Hour Cream Lip Protectant Stick SPF 15 #01 Honey 3.7g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,2495,/iteminfo/elizabeth-arden-eight-hour-cream-lip-protectant-stick-spf15-no01-honey-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/03427480502_EBAY_SMALL_US.jpg
215335,Clinique,Chubby Stick - No. 04 Mega Melon 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3395,/iteminfo/clinique-chubby-stick-no04-mega-melon-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/12693480402_EBAY_SMALL_US.jpg
223800,Yves Saint Laurent,Rouge Pur Couture Vernis a Levres Glossy Stain - # 12 Corail Fauve 6ml,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Gloss,5595,/iteminfo/yves-saint-laurent-rouge-pur-couture-vernis-a-levres-glossy-stain-no12-corail-fauve-6ml,//d3pllp7nz3wmw5.cloudfront.net/product_images/14573681702_EBAY_SMALL_US.jpg
217205,Chanel,Rouge Coco Hydrating Conditioning Lip Balm 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,6495,/iteminfo/chanel-rouge-coco-hydrating-conditioning-lip-balm-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/13704880202_EBAY_SMALL_US.jpg
225392,Clinique,Chubby Stick - No. 09 Heaping Hazelnut 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3395,/iteminfo/clinique-chubby-stick-no09-heaping-hazelnut-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/14551880402_EBAY_SMALL_US.jpg
216291,Guerlain,Kiss Kiss Lip Lift Smoothing Lipstick Primer 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,5395,/iteminfo/guerlain-kiss-kiss-lip-lift-smoothing-lipstick-primer-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/08576780702_EBAY_SMALL_US.jpg
161020,Bobbi Brown,Lip Color - Nude 3.4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,4295,/iteminfo/bobbi-brown-lip-color-nude-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/09239026502_EBAY_SMALL_US.jpg
176039,NARS,Lipstick - Scarlet Empress 3.4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3995,/iteminfo/nars-lipstick-scarlet-empress-semi-matte-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/13059702602_EBAY_SMALL_US.jpg
215080,NARS,Velvet Matte Lip Pencil - Dragon Girl 2.4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3895,/iteminfo/nars-velvet-matte-lip-pencil-dragon-girl-2g,//d3pllp7nz3wmw5.cloudfront.net/product_images/13077602602_EBAY_SMALL_US.jpg
225396,Clinique,Chubby Stick - No. 14 Curvy Candy 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3395,/iteminfo/clinique-chubby-stick-no14-curvy-candy-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/14552280402_EBAY_SMALL_US.jpg
225394,Clinique,Chubby Stick - No. 11 Two Ton Tomato 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3395,/iteminfo/clinique-chubby-stick-no11-two-ton-tomato-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/14552080402_EBAY_SMALL_US.jpg
225395,Clinique,Chubby Stick - No. 12 Oversized Orange 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3395,/iteminfo/clinique-chubby-stick-no12-oversized-orange-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/14552180402_EBAY_SMALL_US.jpg
176038,NARS,Lipstick - Red Lizard 3.4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3995,/iteminfo/nars-lipstick-red-lizard-semi-matte-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/13059502602_EBAY_SMALL_US.jpg
218053,Yves Saint Laurent,Rouge Pur Couture - #01 Le Rouge 3.8g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,5795,/iteminfo/yves-saint-laurent-rouge-pur-couture-no01-le-rouge-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/12068381702_EBAY_SMALL_US.jpg
234340,Chanel,Rouge Allure Velvet - # 43 La Favorite 3.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,6295,/iteminfo/chanel-rouge-allure-velvet-no43-la-favorite-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/15656680202_EBAY_SMALL_US.jpg
251888,NARS,Satin Lip Pencil - Rikugien 2.2g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,2093,/iteminfo/nars-satin-lip-pencil-rikugien-2g,//d3pllp7nz3wmw5.cloudfront.net/product_images/17389002602_EBAY_SMALL_US.jpg
172977,Yves Saint Laurent,Rouge Pur Couture - #13 Le Orange 3.8g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3795,/iteminfo/clarins-joli-rouge-long-wearing-moisturizing-lipstick-no701-orange-fizz-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/07740380302_EBAY_SMALL_US.jpg
175758,Clarins,Joli Rouge - # 701 Orange Fizz 3.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,5795,/iteminfo/yves-saint-laurent-rouge-pur-couture-no13-le-orange-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/12074781702_EBAY_SMALL_US.jpg
262151,NARS,Velvet Matte Lip Pencil - Train Bleu 2.4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3995,/iteminfo/nars-velvet-matte-lip-pencil-train-bleu-2g,//d3pllp7nz3wmw5.cloudfront.net/product_images/18520102602_EBAY_SMALL_US.jpg
231915,Jane Iredale,PureGloss Lip Gloss - Soft Peach 7ml,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Gloss,5795,/iteminfo/yves-saint-laurent-rouge-pur-couture-no22-pink-celebration-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/16051681702_EBAY_SMALL_US.jpg
238980,Yves Saint Laurent,Rouge Pur Couture - #22 Pink Celebration 3.8g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,2195,/iteminfo/jane-iredale-puregloss-lip-gloss-new-packaging-soft-peach-7ml,//d3pllp7nz3wmw5.cloudfront.net/product_images/15514503602_EBAY_SMALL_US.jpg
232047,Clinique,Chubby Stick Intense Moisturizing Lip Colour Balm - No. 3 Mightiest Maraschino 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,3395,/iteminfo/clinique-chubby-stick-intense-moisturizing-lip-colour-balm-no3-mightiest-maraschino3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/15389780402_EBAY_SMALL_US.jpg
232049,Clinique,Chubby Stick Intense Moisturizing Lip Colour Balm - No. 5 Plushest Punch 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,3395,/iteminfo/clinique-chubby-stick-intense-moisturizing-lip-colour-balm-no5-plushest-punch-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/15390080402_EBAY_SMALL_US.jpg
266264,Fusion Beauty,LipFusion Infatuation Liquid Shine Multi Action Lip Fattener - Pucker Up 5.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Gloss,2695,/iteminfo/fusion-beauty-lipfusion-infatuation-liquid-shine-multi-action-lip-fattener-pucker-up-5g-1,//d3pllp7nz3wmw5.cloudfront.net/product_images/19000992249_EBAY_SMALL_US.jpg
228089,Christian Dior,Diorific Lipstick - No. 021 Icone 3.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,6795,/iteminfo/christian-dior-diorific-lipstick-new-packaging-no021-icone-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/15138980102_EBAY_SMALL_US.jpg
217456,Jane Iredale,Lip Pencil - Spice 1.1g,Make Up & Cosmetics >> Lips >> Lip Liners,1804,/iteminfo/jane-iredale-lip-pencil-spice-1g,//d3pllp7nz3wmw5.cloudfront.net/product_images/09935903602_EBAY_SMALL_US.jpg
231893,Jane Iredale,PureGloss Lip Gloss - Pink Candy 7ml,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Gloss,3295,/iteminfo/jane-iredale-puregloss-lip-gloss-new-packaging-pink-candy-7ml,//d3pllp7nz3wmw5.cloudfront.net/product_images/15432403602_EBAY_SMALL_US.jpg
217455,Jane Iredale,Lip Pencil - Rose 1.1g,Make Up & Cosmetics >> Lips >> Lip Liners,1804,/iteminfo/jane-iredale-lip-pencil-rose-1g,//d3pllp7nz3wmw5.cloudfront.net/product_images/09935703602_EBAY_SMALL_US.jpg
254611,NARS,Velvet Matte Lip Pencil - Never Say Never 2.4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3895,/iteminfo/nars-velvet-matte-lip-pencil-never-say-never-2g,//d3pllp7nz3wmw5.cloudfront.net/product_images/17622102602_EBAY_SMALL_US.jpg
247132,L'Oreal,L'oreal Coloriche Star Secrets Lip Stick 708,Make Up & Cosmetics >> Lips,1507,/iteminfo/loreal-coloriche-star-secrets-lip-stick-708,//d3pllp7nz3wmw5.cloudfront.net/product_images/2599_order_save_EBAY_SMALL_US.jpg
176041,NARS,Lipstick - Jungle Red 3.4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3995,/iteminfo/nars-lipstick-jungle-red-semi-matte-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/13059902602_EBAY_SMALL_US.jpg
218725,Jane Iredale,Lip Pencil - Nude 1.1g,Make Up & Cosmetics >> Lips >> Lip Liners,1804,/iteminfo/jane-iredale-lip-pencil-nude-1g,//d3pllp7nz3wmw5.cloudfront.net/product_images/09935303602_EBAY_SMALL_US.jpg
232053,Clinique,Chubby Stick Intense Moisturizing Lip Colour Balm - No. 8 Grandest Grape 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,3395,/iteminfo/clinique-chubby-stick-intense-moisturizing-lip-colour-balm-no8-grandest-grape-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/15390480402_EBAY_SMALL_US.jpg
127993,Laura Mercier,Lip Colour - Healthy Lips 3.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3795,/iteminfo/laura-mercier-lip-colour-healthy-lips-sheer-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/04706724702_EBAY_SMALL_US.jpg
219408,NARS,Lipstick - Heat Wave 3.4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3995,/iteminfo/nars-lipstick-heat-wave-semi-matte-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/13696102602_EBAY_SMALL_US.jpg
237516,Clinique,High Impact Lip Colour - # 13 Flamenco 3.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3495,/iteminfo/clinique-high-impact-lip-colour-no13-flamenco-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/16110680402_EBAY_SMALL_US.jpg
242415,Clinique,High Impact Lip Colour - # 11 Peach Pop 3.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3495,/iteminfo/clinique-high-impact-lip-colour-no11-peach-pop-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/16665780402_EBAY_SMALL_US.jpg
262117,NARS,Audacious Lipstick - Charlotte 4.2g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,4495,/iteminfo/nars-audacious-lipstick-charlotte-4g,//d3pllp7nz3wmw5.cloudfront.net/product_images/18322002602_EBAY_SMALL_US.jpg
175749,Clarins,Eclat Minute Instant Light Natural Lip Perfector - # 01 Rose Shimmer 12ml,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Gloss,3595,/iteminfo/clarins-eclat-minute-instant-light-natural-lip-perfector-no01-rose-shimmer-12ml,//d3pllp7nz3wmw5.cloudfront.net/product_images/07450380302_EBAY_SMALL_US.jpg
230805,Yves Saint Laurent,Rouge Volupte Shine - # 6 Pink In Devotion/ Pink Safari 4.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,5795,/iteminfo/yves-saint-laurent-rouge-volupte-shine-no6-pink-in-devotion-4g,//d3pllp7nz3wmw5.cloudfront.net/product_images/15385981702_EBAY_SMALL_US.jpg
145675,Chanel,Rouge Coco Shine Hydrating Sheer Lipshine - # 67 Deauville 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,6095,/iteminfo/chanel-rouge-coco-shine-hydrating-sheer-lipshine-no67-deauville-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/12101780202_EBAY_SMALL_US.jpg
259938,NARS,Audacious Lipstick - Dominique 4.2g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,4495,/iteminfo/nars-audacious-lipstick-dominique-4g,//d3pllp7nz3wmw5.cloudfront.net/product_images/18311402602_EBAY_SMALL_US.jpg
232048,Clinique,Chubby Stick Intense Moisturizing Lip Colour Balm - No. 4 Heftiest Hibiscus 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,3395,/iteminfo/clinique-chubby-stick-intense-moisturizing-lip-colour-balm-no4-heftiest-hibiscus-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/15389880402_EBAY_SMALL_US.jpg
217009,Yves Saint Laurent,Rouge Pur Couture Vernis a Levres Glossy Stain - # 7 Corail Aquatique 6ml,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Gloss,5595,/iteminfo/yves-saint-laurent-rouge-pur-couture-vernis-a-levres-glossy-stain-no7-corail-aquatique-6ml,//d3pllp7nz3wmw5.cloudfront.net/product_images/14207481702_EBAY_SMALL_US.jpg
219366,NARS,Lipstick - Barbarella 3.4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3995,/iteminfo/nars-lipstick-barbarella-sheer-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/13061102602_EBAY_SMALL_US.jpg
230811,Yves Saint Laurent,Rouge Volupte Shine - # 12 Coral Incandescent/ Corail Dolman 4.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,5795,/iteminfo/yves-saint-laurent-rouge-volupte-shine-no12-coral-incandescent-4g,//d3pllp7nz3wmw5.cloudfront.net/product_images/15386881702_EBAY_SMALL_US.jpg
257616,Lipstick Queen,Hello Sailor Lipstick - # Hello Sailor 3.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3995,/iteminfo/lipstick-queen-hello-sailor-lipstick-nohello-sailor-sheer-blackberry-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/18103544002_EBAY_SMALL_US.jpg
216171,Christian Dior,Dior Addict Lip Experts Duo 2pcs,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Balm,10495,/iteminfo/christian-dior-dior-addict-lip-experts-duo-1x-lip-glow-1x-lip-maximizer-2pcs,//d3pllp7nz3wmw5.cloudfront.net/product_images/12804180102_EBAY_SMALL_US.jpg
214922,Clarins,Eclat Minute Instant Light Natural Lip Perfector - # 03 Beige 12ml,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Gloss,3595,/iteminfo/clarins-eclat-minute-instant-light-natural-lip-perfector-no03-beige-440201-12ml,//d3pllp7nz3wmw5.cloudfront.net/product_images/09975080302_EBAY_SMALL_US.jpg
230389,Yves Saint Laurent,Rouge Pur Couture The Mats - # 203 Rouge Rock 3.8g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,5795,/iteminfo/yves-saint-laurent-rouge-pur-couture-the-mats-no203-rouge-rock-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/15198281702_EBAY_SMALL_US.jpg
137583,Youngblood,Lipstick - Bliss 4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3595,/iteminfo/jane-iredale-just-kissed-lip-and-cheek-stain-forever-peach-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/18892503602_EBAY_SMALL_US.jpg
238981,Yves Saint Laurent,Rouge Pur Couture - #49 Tropical Pink/Rose Tropical 3.8g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,3095,/iteminfo/youngblood-lipstick-bliss-4g,//d3pllp7nz3wmw5.cloudfront.net/product_images/2320_stock_EBAY_SMALL_US.jpg
256359,Lipstick Queen,Jean Queen Lipstick 3.7g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,5795,/iteminfo/yves-saint-laurent-rouge-pur-couture-no49-tropical-pink-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/16051881702_EBAY_SMALL_US.jpg
256427,Lipstick Queen,Saint Lipstick - # Natural 3.5g,Make Up & Cosmetics >> Lips >> Lip Color >> Lipstick,2995,/iteminfo/lipstick-queen-jean-queen-lipstick-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/17884844002_EBAY_SMALL_US.jpg
265359,Jane Iredale,Just Kissed Lip & Cheek Stain - Forever Peach 3g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Stain,2995,/iteminfo/lipstick-queen-saint-lipstick-nonatural-3g,//d3pllp7nz3wmw5.cloudfront.net/product_images/17885744002_EBAY_SMALL_US.jpg
176103,NARS,Velvet Matte Lip Pencil - Walkyrie 2.4g,Make Up & Cosmetics >> Lips >> Lip Color >> Lip Crayon,3895,/iteminfo/nars-velvet-matte-lip-pencil-walkyrie-2g,//d3pllp7nz3wmw5.cloudfront.net/product_images/13077902602_EBAY_SMALL_US.jpg
