"source_id","brand","name","categories","price","web_url"
"253921","Living Proof","Perfect Hair Day 1000ml","Hair Care >> Shampoo >> All Hair Types >> Color Protection","126.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Perfect-Hair-Day-(PHD)-Shampoo-(For-All-Hair-Types)-1000ml"
"285335","Living Proof","No Frizz Nourishing Oil 100ml","Hair Care >> Intensive Treatments >> Treatments","53.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-No-Frizz-Nourishing-Oil-100ml"
"285336","Living Proof","Perfect Hair Day Fresh Cut Split End Mender 100ml","Hair Care >> Intensive Treatments >> Treatments","34.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Perfect-Hair-Day-(PHD)-Fresh-Cut-Split-End-Mender-100ml"
"277271","Living Proof","Style Lab Prime Style Extender Spray 100ml","Hair Care >> Styling Products >> Styling Hair Spray >> Smoothing","58.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Style-Lab-Prime-Style-Extender-Spray-100ml"
"229252","Living Proof","Lab Prime Style Extender 710ml","Hair Care >> Styling Products >> Styling Cream / Gel >> Volumizing","108.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Lab-Prime-Style-Extender-710ml"
"291937","Living Proof","Perfect Hair Day Dry Shampoo 120ml","Hair Care","45.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Perfect-Hair-Day-(phd)-Dry-Shampoo-120ml"
"296911","Living Proof","Restore Mask Treatment 227g","Hair Care >> Intensive Treatments >> Treatments","59.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Restore-Mask-Treatment-(Deeply-Nourishes-&-Reverses-Damage)-227g"
"253922","Living Proof","Perfect Hair Day 1000ml","Hair Care >> Conditioner >> All Hair Types >> Color Protection","126.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Perfect-Hair-Day-(PHD)-Conditioner-(For-All-Hair-Types)-1000ml"
"280513","Living Proof","Timeless Shampoo 236ml","Hair Care >> Shampoo >> Dry Hair >> Moisture Boosting","43.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Timeless-Shampoo-(For-Beautiful,-Ageless-Hair)-236ml"
"286684","Living Proof","Curl Conditioning Wash 710ml","Hair Care >> Shampoo >> Curly & Wavy Hair >> Anti-Frizz","101.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Curl-Conditioning-Wash-710ml"
"298762","Living Proof","Style Lab T.B.D. Multi-Tasking Styler 148ml","Hair Care >> Styling Products >> Styling Cream / Gel >> Texturizing","37.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Style-Lab-T.B.D.-Multi%7C-Tasking-Styler-148ml"
