"source_id","brand","name","categories","price","rating","review_count","original_price","web_url","image_urls","variant_count"
"7301","3CE","3CE Creamy Lip Color","[""Lipstick""]","3500","3.5","6","3500","https://www.sephora.com.au/products/3ce-3ce-creamy-lip-color","[""https://static-reg.lximg.com/images/product_images/14571_3CE_WEB_f6555e1ffb43f0fba46641f2b3805e16f1f092e3_1523777202.png""]","8"
"10089","Sephora Collection","Nose Strip","[""Scrub & Exfoliator""]","200","3.5","113","200","https://www.sephora.com.au/products/sephora-collection-nose-strip","[""https://static-reg.lximg.com/images/product_images/Charcoal-Nose-Strip_WEB_448190d0131191f41454aa7f344007121e362ddb_1523777643.png""]","1"
"12324","Estée Lauder","Bronze Goddess Powder Bronzer","[""Bronzer""]","6000","5.0","2","6000","https://www.sephora.com.au/products/estee-lauder-bronze-goddess-powder-bronzer","[""https://static-reg.lximg.com/images/pictures/50850/26595_EsteeLauder_WEB.jpg""]","4"
"17292","Edible Beauty","Glowing Skin Smoothie Serum","[""Serum & Booster""]","4900","0.0","0","4900","https://www.sephora.com.au/products/edible-beauty-glowing-skin-smoothie-serum","[""https://static-reg.lximg.com/images/product_images/1_Product_193176_20Edible_20Beauty_20Glowing_20Skin_20Smoothie_20Serum_20Default_02aa72975209429b60ae75e372593fbecfb50ac7_1540230686.png""]","1"
"18058","Lanolips","Rose Gold 101 Ointment Balm + Tint for Lips and Cheeks","[""Blush"", ""Lip Stain & Tint""]","1900","0.0","0","1900","https://www.sephora.com.au/products/lanolips-rose-gold-101-ointment-balm-plus-tint-for-lips-and-cheeks","[""https://static-reg.lximg.com/images/product_images/1_Product_202597_20Lano_20Lips_20Rose_20Gold_20101_20Ointment_20Balm_20Tint_20For_20Lips_20And_20Che_0956bbff74721b158deca5d91e201562361eaff6_1541736162.png"", ""https://static-reg.lximg.com/images/product_images/2_Product_202597_20Lano_20Lips_20Rose_20Gold_20101_20Ointment_20Balm_20Tint_20For_20Lips_20And_20Che_ecd9e8170661dae79867be47e496c64118b2f9f5_1541736168.png"", ""https://static-reg.lximg.com/images/product_images/3_Swatch_202597_20Lano_20Lips_20Rose_20Gold_20101_20Ointment_20Balm_20Tint_20For_20Lips_20And_20Chee_e0276506b508755acdb8d9ac5ed810fac9928663_1541736175.png""]","1"
"4286","Clinique","Pop Lip Colour + Primer","[""Lips"", ""Lip Balm"", ""Lip Primer"", ""Lipstick""]","4000","4.0","18","4000","https://www.sephora.com.au/products/clinique-pop-lip-colour-plus-primer","[""https://static-reg.lximg.com/images/product_images/23212_Clinique_Web_97adbc8bd0da77b129a7fa00df0a343c5bfef6ec_1523776804.png""]","20"
"8138","Burberry Beauty","Light Glow","[""Blush""]","7200","4.5","37","7200","https://www.sephora.com.au/products/burberry-light-glow-natural-blush-0d09af2d-d730-43d4-92b6-b5996ae4d6e6","[""https://static-reg.lximg.com/images/pictures/43335/16290_BURBERRY_WEB.jpg""]","1"
"17321","Murad","Bright Away (Limited Edition)","[""Skincare Sets"", ""For Her""]","5000","5.0","1","5000","https://www.sephora.com.au/products/murad-bright-away-limited-edition","[""https://static-reg.lximg.com/images/product_images/1_Product_200909_5e62ab636764b3b8d7499efb134440b31a030cb4_1540389768.png"", ""https://static-reg.lximg.com/images/product_images/1_Product_200909_5e62ab636764b3b8d7499efb134440b31a030cb4_1540399438.png""]","1"
"4207","SK-II","SK-II Mid-Day Miracle Essence 50ml","[""Day Moisturiser""]","8500","4.0","21","8500","https://www.sephora.com.au/products/sk-ii-sk-ii-mid-day-miracle-essence-50ml","[""https://static-reg.lximg.com/images/product_images/middaymiracle_9396f97c3da3e93b0f0b412e4494256347785ffc_1523776797.png""]","1"
"5817","Antonym","Medium Pencil Brush #19","[""Eye Brushes""]","2200","4.5","1","2200","https://www.sephora.com.au/products/antonym-medium-pencil-brush-number-19","[""https://static-reg.lximg.com/images/pictures/42341/10473_Antonym_WEB.jpg""]","1"
